_id,Ward_No,Ward Name,Playgrounds #,Playground area (sq m)
1,1,Kempegowda Ward,0,0
2,2,Chowdeswari Ward,0,0
3,3,Atturu,4,40131
4,4,Yelahanka Satellite Town,2,10652
5,5,Jakkuru,1,1442
6,6,Thanisandra,1,1847
7,7,Byatarayanapura,4,19031
8,8,Kodigehalli,5,25810
9,9,Vidyaranyapura,6,71225
10,10,Dodda Bommasandra,1,48071
11,11,Kuvempu Nagar,0,0
12,12,Shettihalli,1,426
13,13,Mallasandra,1,964
14,14,Bagalakunte,3,44675
15,15,T Dasarahalli,0,0
16,16,Jalahalli,5,64023
17,17,J P Park,1,5432
18,18,Radhakrishna Temple Ward,2,9799
19,19,Sanjaya Nagar,3,9231
20,20,Ganga Nagar,3,15535
21,21,Hebbala,4,13277
22,22,Vishwanath Nagenahalli,4,10540
23,23,Nagavara,0,0
24,24,HBR Layout,1,4808
25,25,Horamavu,3,16129
26,26,Ramamurthy Nagar,1,855
27,27,Banasavadi,3,23604
28,28,Kammanahalli,3,10665
29,29,Kacharkanahalli,0,0
30,30,Kadugondanahalli,0,0
31,31,Kushal Nagar,0,0
32,32,Kaval Bairasandra,1,3664
33,33,Manorayana Palya,2,1996
34,34,Gangenahalli,0,0
35,35,Aramane Nagara,4,42436
36,36,Mattikere,3,3650
37,37,Yeshwanthpura,1,8251
38,38,HMT Ward,2,9804
39,39,Chokkasandra,1,7498
40,40,Dodda Bidarakallu,5,30159
41,41,Peenya Industrial Area,0,0
42,42,Lakshmi Devi Nagar,3,9673
43,43,Nandini Layout,3,13394
44,44,Marappana Palya,2,7278
45,45,Malleshwaram,0,0
46,46,Jayachamarajendra Nagar,1,10075
47,47,Devara Jeevanahalli,1,1709
48,48,Muneshwara Nagar,1,4742
49,49,Lingarajapura,1,9713
50,50,Benniganahalli,0,0
51,51,Vijnanapura,1,3809
52,52,KR Puram,1,8851
53,53,Basavanapura,1,5086
54,54,Hudi,0,0
55,55,Devasandra,0,0
56,56,A Narayanapura,1,4734
57,57,C.V. Raman Nagar,1,3302
58,58,New Tippa Sandra,1,12550
59,59,Maruthi Seva Nagar,4,25490
