"Ward_No","Ward Name","Bus stops#","Bus routes#"
"1","Kempegowda Ward","35","136"
"2","Chowdeswari Ward","19","81"
"3","Atturu","31","106"
"4","Yelahanka Satellite Town","21","158"
"5","Jakkuru","78","50"
"6","Thanisandra","42","93"
"7","Byatarayanapura","59","219"
"8","Kodigehalli","16","158"
"9","Vidyaranyapura","24","55"
"10","Dodda Bommasandra","33","122"
"11","Kuvempu Nagar","23","71"
"12","Shettihalli","45","107"
"13","Mallasandra","1","1"
"14","Bagalakunte","26","159"
"15","T Dasarahalli","5","194"
"16","Jalahalli","33","122"
"17","J P Park","18","118"
"18","Radhakrishna Temple Ward","18","54"
"19","Sanjaya Nagar","9","29"
"20","Ganga Nagar","23","207"
"21","Hebbala","10","45"
"22","Vishwanath Nagenahalli","8","14"
"23","Nagavara","14","67"
"24","HBR Layout","33","145"
"25","Horamavu","57","141"
"26","Ramamurthy Nagar","26","41"
"27","Banasavadi","31","78"
"28","Kammanahalli","9","47"
"29","Kacharkanahalli","25","78"
"30","Kadugondanahalli","8","45"
"31","Kushal Nagar","12","46"
"32","Kaval Bairasandra","17","42"
"33","Manorayana Palya","5","52"
"34","Gangenahalli","13","128"
"35","Aramane Nagara","46","509"
"36","Mattikere","8","116"
"37","Yeshwanthpura","5","24"
"38","HMT Ward","34","297"
"39","Chokkasandra","31","139"
"40","Dodda Bidarakallu","55","196"
"41","Peenya Industrial Area","34","92"
"42","Lakshmi Devi Nagar","16","119"
"43","Nandini Layout","21","41"
"44","Marappana Palya","13","235"
"45","Malleshwaram","26","319"
"46","Jayachamarajendra Nagar","14","95"
"47","Devara Jeevanahalli","6","36"
"48","Muneshwara Nagar","0","3"
"49","Lingarajapura","7","50"
"50","Benniganahalli","30","258"
"51","Vijnanapura","11","69"
"52","KR Puram","14","127"
"53","Basavanapura","8","110"
"54","Hudi","41","229"
"55","Devasandra","15","250"
"56","A Narayanapura","7","257"
"57","C.V. Raman Nagar","20","216"
"58","New Tippa Sandra","18","44"
"59","Maruthi Seva Nagar","9","102"
"60","Sagayara Puram","16","113"
"61","SK Garden","5","72"
"62","Ramaswamy Palya","3","11"
"63","Jaya Mahal","36","275"
"64","Raj Mahal Guttahalli","7","134"
"65","Kadu Malleshwar Ward","19","278"
"66","Subramanya Nagar","12","114"
"67","Nagapura","30","137"
"68","Mahalakshmipuram","7","43"
"69","Laggere","11","39"
