,Unnamed: 0,Listing Type,Property Type,Building Type,City,Locality,Area,Rent,Furnishing Status,Number of Rooms,Number of Bathroom,Covered Parking,View,Floor Number,Tower/Block,Additional Rooms,Security Deposit,Available From,Age of Property (Years),Unit No,Total Floor Count,Balcony,Open/Uncovered Parking,Deposit amount,crime,hospital,school,bus_stop,park1,Playgrounds1
0,0,Rent,Residential,Apartment,Bangalore,Whitefield,1190 Sq.Ft. (Carpet Area),75000,Semi-Furnished,3.5,3,1,Garden View,14,D,Extra Room,Other,Immediately,4-Feb,1,19,Connected,,480000,no,no,0,0,0,0
1,1,Rent,Residential,Apartment,Bangalore,Devanahalli,1250 Sq.Ft. (Built-up Area),30000,Semi-Furnished,2,2,1,Pool View,11,2,,Other,Immediately,0-1,,24,Connected,1,200000,no,no,0,0,0,0
2,2,Rent,Residential,Apartment,Bangalore,Kadubeesanahalli,1184 Sq.Ft. (Saleable Area),52000,Semi-Furnished,,,1,,South east facing,4,,Other,Immediately,,1,Ground floor,,,300000,no,no,0,0,0,0
3,3,Rent,Residential,Apartment,Bangalore,Ashok Nagar,1250 Sq.Ft. (Built-up Area),60000,Furnished,2,2,1,Community View,2,2,,Other,Immediately,10+,2,5,"Connected,Room-attached",,500000,no,no,0,0,0,0
4,4,Rent,Residential,Apartment,Bangalore,Devanahalli,1700 Sq.Ft. (Built-up Area),31000,Semi-Furnished,3,3,1,Garden View,10,,Extra Room,Other,Immediately,0-1,,14,Individual,1,200000,no,no,0,0,0,0
5,5,Rent,Residential,Apartment,Bangalore,Whitefield,1350 Sq.Ft. (Built-up Area),37000,Semi-Furnished,2.5,2,2,Community View,3,A,Extra Room,Other,Later,4-Feb,12,4,Room-attached,,33000,no,no,0,0,0,0
6,6,Rent,Commercial,Office Space,Bangalore,Kudlu,6750 Sq.Ft. (Built-up Area),200000,Unfurnished,,,6,,ground and first floor,,,Other,,4-Feb,,,Connected,6,1000000,no,no,0,0,0,0
7,7,Rent,Residential,Apartment,Bangalore,Sarjapur Road,2355 Sq.Ft. (Saleable Area),87000,Semi-Furnished,4,5,2,Community View,2,B,Servant Room,Other,Immediately,0-1,202,7,"Connected,Room-attached",6+,400000,no,no,0,0,0,0
8,8,Rent,Residential,Apartment,Bangalore,Konanakunte,1861 Sq.Ft. (Saleable Area),70000,Semi-Furnished,3,3,1,Pool View,25,,,Other,Immediately,0-1,,31,,,300000,yes,no,0,0,0,0
9,9,Rent,Residential,Builder Floor,Bangalore,Jakkur,3200 Sq.Ft. (Carpet Area),80000,Furnished,3,3,1,Road View,2,,"Pooja Room,Study Room",Other,Immediately,0-1,2,3,Room-attached,4,800000,no,no,0,0,0,0
10,10,Rent,Residential,Apartment,Bangalore,Indiranagar,2100 Sq.Ft. (Carpet Area),95000,Semi-Furnished,4,4,1,,9,2,,Other,Immediately,,1,9,,1,400000,no,yes,0,0,0,0
11,11,Rent,Residential,Apartment,Bangalore,Ramagondanahalli,2276 Sq.Ft. (Built-up Area),55000,Semi-Furnished,3,3,1,,2,B,,Other,Immediately,10+,224,4,"Individual,Room-attached",,200000,no,no,0,0,0,0
12,12,Rent,Residential,Apartment,Bangalore,Whitefield,1190 Sq.Ft. (Carpet Area),75000,Semi-Furnished,3.5,3,1,Garden View,14,D,Extra Room,Other,Immediately,4-Feb,1,19,Connected,,480000,no,no,0,0,0,0
13,13,Rent,Residential,Apartment,Bangalore,Devanahalli,1250 Sq.Ft. (Built-up Area),30000,Semi-Furnished,2,2,1,Pool View,11,2,,Other,Immediately,0-1,,24,Connected,1,200000,no,no,0,0,0,0
